Page #,Question #,Question Text,Answer
190,3,What's the name of Disney's Little Mermaid,Aerial
190,5,What was Disney's Donald Duck originally called,Donald Drake
190,6,What was the longest running primetime TV drama 20 seasons,Gunsmoke
190,18,Name bald head character that peers over walls saying wot no,Chad
190,31,What is the only silent film to win best picture Oscar,Wings
190,33,Which of Santa's reindeer comes first alphabetically,Comet
190,34,November 28th 1948 what was the first TV western in the USA,Hopalong Cassidy
190,40,In the Simpsons name Ned Flanders wife,Maude
190,44,Terrence Nezman became more famous as who,Stanley Kubrick
190,46,What was the full name of Dr Henry Jekyll's alter ego,Edward Hyde
190,47,In Curse of the Pink Panther who plays Clouseau after surgery,Roger Moore
190,48,In Wacky Races who drove the Turbo Terrific,Peter Perfect
