Page #,Question #,Question Text,Answer
155,49,Who began his career as one of the Tennessee Two,Johnny Cash
155,65,Name the Beatles first LP released in 1963,Please-please me
155,72,In standard cine film how many frames are shown each second,Twenty four
155,73,What was on B side of The Rolling Stones Ruby Tuesday,"Lets Spend the Night
Together"
155,89,Aaron Copeland wrote a ballet about which American folk hero,Billy the Kid
155,91,Which quiz program never had contestants only contenders,Mastermind
155,93,Whose only line in his first play was Tennis Anyone,Humphry Bogart
155,94,Which film is the first of the spaghetti westerns,A fistful of Dollars
155,95,Who wrote Cliff Richards hit song Living Doll,Lionel Bart
155,98,Name the Rolling Stones second album,Rolling Stones No 2
