Page #,Question #,Question Text,Answer
197,51,In the book Little Women what is the sisters surname,March
197,60,Norse mythology Asgard was home of the Gods what's Midgard,Earth
197,62,Krusty the Clown and Chandler in Friends have an extra what,Nipple
197,64,In the strip cartoon Dilbert name Dilbert's girlfriend,Liz
197,77,What was the name of the changeling on Deep Space Nine,Odo
197,78,In the Flintstones what order did Fred and Barney belong to,Water Buffalos
197,82,Name the son / daughter of Eliot / Ruth Handler,Barbie / Ken yes those dolls
197,86,Hal Jordan was the original alter ego of which comic super hero,Green Lantern now Kyle Rayner
197,89,What fictional planet orbited the red star Negus 12,Superman's Krypton
197,90,Who wrote the book The Puppet Masters later a film,Robert Heinlein
197,92,In the Muppet band Zoot plays which instrument,Saxophone
197,99,In Sesame street name the two headed friendly monster,Frank and Stein
