Page #,Question #,Question Text,Answer
194,8,Who wrote the novel The Betsy,Harold Robbins
194,10,Nigel Neil created which famous UK Professor in the 50s,Professor Quatermass
194,16,Babba Louey was the sidekick of which cartoon character,Quick Draw McGraw
194,17,If not Shakespeare what links Juliet Cleopatra Mark Antony,Commit Suicide
194,19,Which comic book hero rode a horse called storm,Aquaman storm was a seahorse
194,21,in a famous Disney film who are Flora Fauna and Merryweather,Fairy Godmothers Sleeping Beauty
194,22,John de Lancie played which character in the Star Trek series,Q
194,26,Star which TV show really a programmer written 20 books on it,Buffy Vampire Slayer Sarah Michelle Geller
194,28,A mountain is the symbol of which film company,Paramount
194,32,What is Snoopy's mothers name,Missy
194,33,Who first appeared in the Star Trek episode Space Seed,Khan
194,37,Credits on all Bond films finish with 4 words James Bond what,James Bond will return
194,39,What I did for Love came from which Broadway musical show,Chorus Line
194,40,Which actor studied as a priest then an architect before acting,Anthony Quinn
194,43,What is unusual about the 1965 horror film Incubus,Only one in Esperanto
194,45,Introduced in 1964 name Barbie's sister,Skipper
194,48,Which characters are described as being three apples high,The Smurfs
194,49,In the comic strip Garfield what is the teddy bear’s name,Pooky
