Page #,Question #,Question Text,Answer
91,51,Who started his film career as Anglo Saxton type 2008 in 1930s,David Niven
91,54,Who created the character Walter Mitty,James Thurber
91,55,What Wimbledon single champ had a part in a John Wayne film,Anthea Gibson Lukey Horse Soldiers
91,62,In what film did Sean Connery sing Pretty Irish Girl,Darby O Gill and the Little People
91,66,In the novel Goldfinger name the boss of The Cement Mixers,Pussy Galore
91,68,What Shakespeare play is set in Massina and has Claudio in it,Much ado about Nothing
91,69,Who could win a PATSY,Picture Animal Top Star of Year
91,74,Who starred in 1950s Circus Boy then moved on to pop music,Mickey Dolenz
91,80,"What fictional character was ""The Napoleon of Crime""",Professor Moriaty
91,91,Who wrote the novel Invisible Man in 1952,Ralph Waldo Emerson
91,95,Lili Hayden played a character (not seen) in a spin off from what,Colombo (Mrs)
91,96,David Harold Mayer became famous as who,David Janssen
91,97,Gregory Peck played Lt Joe Clements in what 1950s film,Pork Chop Hill
91,98,The Chronic Argonauts was the original title of what SF book,The Time Machine
