Page #,Question #,Question Text,Answer
189,53,Illustrator Sydney Paget created the trademarks of who,Sherlock Holmes Deerstalker
189,55,"Wyatt Earp, Frank James, Abraham Lincoln what actor links",Henry Fonda
189,57,What brought Frosty the Snowman to life,An old silk hat
189,63,In the film industry what is a flipper (used by child actors),False teeth
189,70,In Shakespeare who is Romeos love - before Juliet,Rosaline
189,82,What was the working title of the TV series Dallas,Houston
189,85,Who was known as The man in Black,Johnny Cash
189,86,In Dick Dastardly's Vulture squadron name the mechanic,Clunk he did not talk but whistled
189,91,In Bewitched name Samantha's identical cousin,Serena
189,93,Who got a gold single for the song Daniel in 1973,Elton John
