Page #,Question #,Question Text,Answer
131,53,Captain Macmorris only ever Irishman in what Shakespeare play,Henry V
131,61,Sir Wilfred is the real name of which eponymous character,Ivanhoe
131,63,The Daleks come from what planet,Skaro
131,64,Who was voted most popular film performer in the USA in 1926,Rin Tin-Tin
131,68,Madam Hooch teaches what at Hogwarts school,Quidditch
131,73,How did Dr Watson's first wife die,Diphtheria
131,78,What song did Rick ask Sam to play in Casablanca,As Time Goes By
131,81,In legend who killed the mobster Grendel,Beowulf
131,85,Name Hercule Poirot's valet,George
131,87,In mythology who slew the nine headed hydra,Hercules
131,89,In Gulliver's Travels name the flying island,Laputa
131,95,Who played Beau Geste in the 1939 film,Gary Cooper
131,97,In Animal Farm what was the name of the farm,Manor Farm
131,98,Who owned a chimp called Chee-Chee,Dr Dolittle
131,99,Who's directorial debut was with Reservoir Dogs,Quentin Tarantino
