Page #,Question #,Question Text,Answer
148,1,Which film won the best special effects Oscar in 1961,The Guns of Naverone
148,2,The Great Gazoo was an alien in which cartoon series,The Flintstones
148,8,In wacky races who drove the converter car,Professor Pat Pending
148,9,A Robert Heinlein book won 1960 Hugo award name it,Starship Troopers
148,12,"In which novel would you find reference to ""The Cracks of Doom""",Lord of the Rings
148,16,In Disney's Bedknobs and Broomsticks what magic words used,Bibbity Bobbity Boo
148,17,First comic book character to return from death by demand is?,Joker in Batman
148,18,"Greenmantle, Three Hostages, Island of Sheep which character",Richard Hannay
148,19,Which film won the best sound effects Oscar in 1990,Hunt for Red October
148,34,"Hamlet, Macbeth Othello which Shakespeare tragedy is missing",King Lear
148,40,Which film won the best screenplay Oscar in 1970,MASH
