Page #,Question #,Question Text,Answer
36,1,What kind of creature was Sam on the Muppet Show,Eagle
36,10,Which musical did the song Send in the Clowns come from,A Little Night Music
36,12,What was Clint Eastwood's first film as a director,Play Misty for Me
36,17,Who wrote the play Amadeus,Peter Shaffer
36,22,What is Kensington Gore,Actors fake blood
36,23,Margarita Carmen Casino became famous as who,Rita Heyworth
36,24,What job does the Gaffer do in the film industry,Chief Electrician
36,25,What was the name of Dagwood Bumstead and Blondies dog,Daisy
36,26,What short sighted cartoon character had a nephew - Waldo,Mr Magoo
36,27,What Shakespeare play was the basis of The Forbidden Planet,The Tempest
36,28,Frederick Austerlitz became famous as who,Fred Astair
36,49,Taidje Khan became famous under which name,Yul Brynner
