Page #,Question #,Question Text,Answer
96,100,Who's first film (THX1138) flopped in 1971,George Lucas
96,1,Who wrote the novel Ben Hur,Lew Wallace
96,5,Who directed the film The African Queen,John Huston
96,9,Action Comics 720 after 58 years who returned engage ring Lois Lane to,Superman
96,18,Vladimir Nabokov wrote Lolita in what language,English
96,20,At what farm does Aunt Ada Doom go on about nasty woodshed,Cold Comfort Farm
96,26,Who wrote the novel The African Queen,C S Forester
96,33,Danes Overst Senap Spanish Marques de Marina what in UK,Colonel Mustard Cluedo
96,34,What puppet was based on the creators former wife Sylvia,Lady Penelope
96,38,Who composed and played the score for the film Genevieve,Larry Addler
96,40,Avron Hirsch Goldbogen changed his name to what,Mike Todd Married Liz Taylor
96,46,Susannah Yolanda Fletcher became famous as who,Susannah York
