Page #,Question #,Question Text,Answer
49,52,Leonard Sly became famous as who,Roy Rodgers
49,53,Perry Como the singer once worked as what,A Barber
49,62,What was the first USA TV series screened in the USSR,Fraggle Rock
49,70,Clark Gable had what job before acting,Telephone Repairman
49,72,"Who said ""Too much of a good thing is wonderful""",Mae West
49,77,What is Bart Simpson's middle name,JoJo
49,80,Mary Cathering Collins became famous as who,Bo Derek
49,82,Raquel Welch was once a what,Weathergirl
49,89,Who sang the theme song for The Love Boat,Jack Jones
49,98,Diane Belmont became famous as who,Lucille Ball
49,99,What star was once a vacuum cleaner salesman,Rock Hudson
