Page #,Question #,Question Text,Answer
128,2,"In what series of books did The Empress of Blandings appear
a pig",Jeeves and Wooster
128,6,Who was the 1958 Cha-Cha champion of Hong Kong,Bruce Lee
128,7,Who directed the 1962 film Lawrence of Arabia,David Lean
128,20,In what book does Humpty Dumpty first appear,"Through the looking
Glass"
128,22,19-19-19 who's vital statistics,Olive Oyl
128,23,Name both families in Soap,Tates Campbells
128,26,In what stage show does Frank N Furter appear,"The Rocky Horror
Picture Show"
128,28,Gerald Thomas directed what series of films,Carry on Films
128,31,In the Saint series of books what is Inspector Teal's full name,Claude Eustace Teal
128,42,"Stage role, written for a man, took 80 years to be played by one",Peter Pan RSC 1982
128,44,Name the main horse in Animal Farm,Boxer
128,49,Who went to school at Hogwarts,Harry Potter
128,50,What was Pierce Brosnan's first James Bond film in 1995,Goldeneye
