Page #,Question #,Question Text,Answer
93,51,Steve McQueen played Hiltz Great Escape what's first name,Virgil
93,56,Luke Halpin Sandy Tommy Norden Bud what 1960s TV show,Flipper
93,57,Who wrote The Caine Mutiny,Herman Wouk
93,60,Albert Harry Jack and Samuel Eichelbaum known as who,Warner Brothers
93,66,Real names Susan Alexandria Stage name from Great Gatsby,Sigourney Weaver
93,74,Fatty Arbuckle was the first filmed recipient of what in 1913,Custard Pie
93,76,What was Supergirl's secret identity,Linda Lee Danvers
93,78,Who danced with Gene Kelly in Anchors Aweigh in 1945,Jerry Mouse
93,84,"The French call it ""La Train Sifflera Trois Fois"" what film is it",High Noon
93,88,Francis Octavia Smith rode Buttercup in 1950s TV who was she,Dale Evans Mrs Roy Rogers
93,89,"In Germany who were known as ""Dick und Doof""",Laurel and Hardy
93,95,James L Herlihy wrote what novel - Oscar winning film,Midnight Cowboy
