Page #,Question #,Question Text,Answer
138,1,Who was Douglas Elton Ullman better known as,Douglas Fairbanks Senior
138,4,In The Dukes of Hazard who was the sheriff,Roscoe P Coltrane
138,11,Which writer created the detective Lord Peter Wimsey,Dorethy L Sayers
138,12,On the same subject who eventually married Lord Peter Wimsey,Harriot Vane
138,14,Yorick in Shakespeare's Hamlet had what job (when alive),Jester
138,17,Corporals Henshaw and Barbella report to which sergeant,Sergeant Bilko
138,21,Leslie Hornby became more famous as who,Twiggy
138,30,In what series of stories did Inspector Lestrade appear,Sherlock Holmes
138,36,Hercules performed twelve labours what was number seven,Capture of the Cretan Bull
138,43,Wings of Desire a foreign film remade as what with Nicolas Cage,City of Angels
138,44,Scooby Do is what breed of dog,Great Dane
