Page #,Question #,Question Text,Answer
37,52,Joe Yule became famous as who,Mickey Rooney
37,54,Bob Clampett created which character in 1938,Bugs Bunny
37,55,Who wrote the children's classic Ann of Green Gables,L M Montgomery
37,58,The Yellow Kid by Richard Felton Outcault in 1896 first what,Comic Strip – New York World
37,63,Which author wrote screenplay Bonds You Only Live Twice,Roald Dahl
37,67,The song I Talk to the Trees comes from what musical,Paint Your Wagon
37,76,What hotel hosted the first Oscar ceremony,Roosevelt Hotel
37,81,What X rated movie won an Oscar,Midnight Cowboy
37,88,In what city was Audry Hepburn born,Brussels
37,90,What word could Ernie Bilko not say without stuttering,Million
37,92,Who did Valerie Solernis shoot on Jun 3rd 1968 in New York,Andy Worhole
37,93,"Shakespeare character says ""Blow winds and crack your cheeks""",King Lear
37,94,In what Hitchcock film did the heroine find shrunken head in bed,Under Capricorn
37,99,Who wrote the satire Candide published in 1759,Voltaire
37,100,Whose ghost appears in Shakespeare's Julius Caesar,Caesar's Ghost
