Page #,Question #,Question Text,Answer
90,3,Name the first Alsatian dog film star 1921,Strongheart - Rin Tin Tin 1922
90,4,In what play do we follow Aaron a Moor beloved of Tamora,Titus Andronicus
90,8,Name the aboriginal detective in the novels of Arthur W Upfield,Napoleon Bonaparte
90,9,Who was the first British SF author to win a Hugo award,Eric Frank Russell Allamagoosa
90,16,In what Agatha Christi book does Poriot Die,Curtain
90,22,What was the name of Sancho Panza's donkey,Dapple
90,23,Who spent 18 months in 1940s as no 3188 home wayward boys,Steve McQueen
90,26,Where could you hear the Cuckoo Song,Laurel Hardy film theme song
90,29,Harold Leek became famous as who,Howard Keel
90,31,In 1954 George Cowling was the first British TV what,Weatherman
90,34,What TV series had a signature tune called Liberty Bell,Monty Pythons Flying Circus
90,39,what are Wa Cha Wej Vagh Hut Soch and chorgh,Numbers - In Klingon
90,41,In Nicholas Nickleby name the headmaster of Dotheboys Hall,Wackford Squeers
