Page #,Question #,Question Text,Answer
146,1,What film won the best visual effects Oscar in 1985,Cocoon
146,4,The golden lion is awarded at which film festival,Venice
146,7,Who broke Bearings bank and inspired the film Rogue Trader,Nick Leason
146,8,Who created the animated characters Wallace and Grommet,Nick Parks
146,14,In the man from UNCLE what does UNCLE stand for,Utd. Net. Com. Law\nEnforcement
146,16,Who wrote To Kill a Mockingbird,Harper Lee
146,17,What 1979 film won the Oscar for best visual effects,Alien
146,24,How may Oscars did Richard Burton win,None – Seven\nNomination
146,33,What was the last black and white film to win Oscar best film,The Apartment 1960\nJack Lemon
146,46,Which Graham Green book and film had Pinky as the star,Brighton Rock
146,47,What film won the best sound effects Oscar in 1985,Back to the Future
146,50,Who wrote the book Interview with a Vampire,Ann Rice
