Page #,Question #,Question Text,Answer
152,100,Which film won the best story Oscar in 1958,The Defiant Ones
152,1,Who wrote the lyrics for Oscar winning song Whole New World,Tim Rice
152,3,"Who described TV as ""Chewing gum for the masses""",Architect Frank Lloyd Wright
152,14,Which detective lived in Cabot Cove Maine,Jessica Fletcher
152,17,Harry Longbaugh became better known under what name,The Sundance Kid
152,20,Ben Hur won most Oscars 11 what film comes second with 10,West Side Story
152,22,"Which actress said ""Being a sex symbol is like being a convict""",Raquel Welch in 1979
152,23,The Golden Bear is awarded at which film festival,Berlin
152,26,Where is Judge Dread a judge,Mega City
152,31,How many best director Oscars did Alfred Hitchcock win,None
152,40,Which film won the best makeup Oscar in 1992,Bram Stokers Dracula
152,42,This TV series ran for 78 episodes before it was scrapped - what,Star Trek
