Page #,Question #,Question Text,Answer
24,1,Name the actor who played Ben Casey (both Names),Vince Edwards
24,2,"What links Elvis Presley, Bruce Willis, Richard Gere",Married in Las Vegas
24,14,In what film was line A mans gotta do what a mans gotta do,Alan Ladd Shane
24,15,Which famous whore said - God is love but get it in writing,Gypsy Rose Lee
24,18,Who wrote the music for the film ET (both names),John Denver
24,21,In Hamlet who is Ophelia's father,Polonius
24,25,If you were in Lou Grants office what city are you in,Los Angeles
24,26,Who wrote Private Lives - 1930 - Blyth Spirit 1941 (both names),Noel Coward
24,28,In what Hitchcock film did Shirley MacLaine debut in 1956,"The trouble with
Harry"
24,32,What is detective Hercules Poirot's brothers name,Achille
24,37,Grace Metalious wrote which famous novel (and TV show),Peyton Place
24,38,Who said Old age isn’t so bad - considering the alternative,Maurice Chevalier
24,40,What film was a California cinema showing when it went on fire,The Towering Inferno
24,46,In what magazine does Alfred E Newman appear,MAD
24,50,Hugh O'Brian played the lead in what Old Western series,Wyatt Earp
