Page #,Question #,Question Text,Answer
161,55,John Wayne was nicknamed duke - but after what,His favourite dog
161,58,Merrylegs was a performing circus dog in which Dickens novel,Hard Times
161,59,"Who is the mother of Huey, Duey and Louie",Dumbella Duck
161,62,Which Science Fiction author created The Triffids,John Wyndom
161,69,In the USA what was the first prime time cartoon show,The Flintstones
161,70,What was the last film where Sergio Leone directed Eastwood,The Good the Bad and the Ugly
161,73,In the 70s who played The Bionic Woman,Lindsey Wagner
161,76,What was the first Hanna-Barbera cartoon,Ruff and Reddy
161,81,What was the top film of 1990,Home Alone
161,86,In mythology Odysseus blinded which Cyclops,Polyphemus
161,98,Speedy Gonzales was fastest mouse in Mexico who slowest,Slowpoke Rodriquez
161,1,In the cartoon Scooby Do what is Scrappy Do's battle cry,Puppy Power
