Page #,Question #,Question Text,Answer
179,53,What did Barbie do in 1977,Smile
179,55,Laurence Tureaud became more famous as who,Mr T
179,58,Which comic character is both a princess and a prince,Wonder Woman – Diana Prince
179,62,US what was the last brand of cigarettes to be advertised on TV,Virginia Slims
179,65,My Word were the final words of which famous TV character,James Tiberius Kirk
179,66,Name the pet peacock on The Walton's,Rover
179,69,Dinner Time by Paul Terry was which cartoon first,Talkie
179,81,When Dino was Fred's pet what was Barney's called,Hoppy a Hoparoo
179,86,Who was the first athlete to have an animated cartoon series,Mohamed Ali
179,90,Who was the first character to speak in Star Wars,C3PO
179,91,Elwood Edwards voice is heard by AOL users - where,Welcome and You Got Mail
179,93,What do the 4 of top 10 children's authors have in common,British - Blyton Dahl Potter etc
179,95,Who was shown on the most popular US postal stamp of 1998,Sylvester and Tweety
179,99,On TV who worked at Otto's Auto Orphanage,The Fonz
