Page #,Question #,Question Text,Answer
107,56,Who wrote The Last Picture Show,Larry McMurty
107,57,Who was nicknamed The Bronx Bull,Jake LaMotta
107,63,Who played the role of Miss Hannigan in the film Annie,Carol Burnett
107,65,What kind of car was Kitt in Knight Rider,Pontiac Trans Am
107,66,In the first voyager program who were the Maquis fighting,The Cardassians
107,74,Who or what could win a Golden Clio award,Advertising film
107,77,Name Hopalong Cassidy's horse,Topper
107,81,Two villains first appear in Batman Comics 1 - Joker and who,Cat - Later called Catwoman
107,93,Name the Australian film about the pianist Halstadt,Shine
107,95,What actor began his career doing Doctor Pepper commercials,Bruce Willis
107,97,What kind of car was the General Lee in Dukes of Hazard,Dodge Charger
