Page #,Question #,Question Text,Answer
98,1,In The Caine Mutiny Bogart played Cap Queeg who first choice,Richard Widmark
98,7,Famous 20th century novel is set mainly on fictional Pianosa,Catch 22
98,11,Rex Stout created what corpulent orchid loving private eye,Nero Wolfe
98,15,Stanley Kubricks Full Metal Jacket was filmed in what Location,London's Dockland
98,16,In what fictional vessel are characters Starbuck Stubb Fedallah Pequod in Moby Dick,Pequod
98,23,Link Danny Fisher Charlie Rogers Vince Everett Chad Gates,Elvis Presley character names
98,24,Alice Dormouse Mad Hatter who is missing from the Tea Party,March Hare
98,34,In what HG Wells novel does Dr Griffin sometimes appear,The Invisible Man
98,36,What kind of animal is Beatrix Potters Mrs Tiggy Winkle,Hedgehog
98,38,Odysseus captured by Cyclops Polyphemus what false name,Nobody
98,41,Who got best actor award for the character Charlie Allnut,Bogart - The African Queen 1951
98,50,Funeral March of a Marionette theme tune to what old TV show,Alfred Hitchcock Presents
