Page #,Question #,Question Text,Answer
5,54,Who wrote about Willie Wonka and the Chocolate Factory,Roald Dahl
5,56,Issur Danielovitch became famous a who,Kirk Douglas
5,58,What was the name of the plantation in Gone with the Wind,Tara
5,63,Who wrote Gulliver’s Travels (both names),Jonathon Swift
5,70,Roy Scherer jr became famous as who,Rock Hudson
5,71,Who wrote Brave New World (full name),Aldus Huxley
5,78,Who directed Dr Strangelove - 2001 - The Shining (full name),Stanley Kubrick
5,80,Who created the children's land of Narnia and Lion Witch Wardrobe,Clive Staples Lewis
5,86,Which character has been played by the most actors,Sherlock Holmes
5,93,Carlo Collodi created which famous children's character,Pinocchio
