Page #,Question #,Question Text,Answer
120,3,In what Dickens novel is there a case of spontaneous combustion,Bleak House
120,4,In the game Tomb Raider what's Lara Crofts profession,Archaeologist
120,10,Rod Taylor starred in a 1960 version of which HG Wells story,The Time Machine
120,11,Liam Devlin often appears in novels by which author,Jack Higgins
120,17,Which famous ship had a total crew numbering 430,Star ship Enterprise – Captain Kirks
120,19,Imperial Airways in 1925 was the first to do what,Show an in flight movie
120,20,And what was that movie,Conan Doyle's – The Lost World
120,31,Name Alfred Hitchcock's first sound film as director,Blackmail
120,33,Who does Adrian Mole lust after,Pandora
120,37,Who was killed in The Little Bastard,James Dean - his cars nickname
120,38,What character did Disney add to Winnie the Pooh not in books,Gopher
120,48,Hugh Lofting created which fictional character,Dr Dolittle
