Page #,Question #,Question Text,Answer
172,2,"What, specifically, won’t Meatloaf do for love",Screw Around
172,6,Name Homer Simpsons bowling team,Pin Pals
172,16,Who played Domino in Never say Never Again,Kim Bassinger
172,18,Alls Well That Ends Well the original title of which classic novel,War and Peace
172,19,Amahl and the Night Visitors was the first opera written for what,Television
172,23,Name the first British show to air on US autumn prime time,The Avengers
172,24,Who were the first pop stars to appear in Madam Tussaud's,The Beatles
172,27,Which song won first Oscar when the category was intro 1934,The Continental
172,28,In MASH name Radars pet mouse,Daisy
172,30,Wiley E Coyote chases roadrunner what does the E stand for,Ethelbert
172,37,In Disney's 1973 animated Robin Hood what creature was Robin,A Fox like Marion
172,39,Who wrote the novel the Cyborg - Basis of the $6 million man,Martin Caidin
172,44,Gobo was the male cousin of which Disney character,Bambi
172,46,The Beatles film Help was dedicated to the inventor of what,Sewing Machine – Elias Howe
172,51,Name (in the US) Denis the Menaces cat,Hot Dog
