Page #,Question #,Question Text,Answer
17,54,Who tells the story in The Arabian Nights,Sheherazade
17,55,Alfred Jingle appears in which Dickens novel,The Pickwick Papers
17,56,Vaselina and Brillantino were alternate names which film,Grease
17,57,Chaplin ate a boot in the Gold Rush - what was it made of,Liquorice
17,64,Who is Ivanhoe's wife,Rowena
17,71,What was the name of Norse God Thor's hammer,Mjolnir
17,73,What was Walt Disney's first cartoon character,Oswald the Rabbit
17,75,Who wrote Beau Geste,P C Wren
17,77,Who is Aladdin's father,Mustapha the tailor
17,87,What was the name of Roses monkey in Friends,Marcel
17,89,Alfred Hitchcock admitted to being terrified of what,Policeman
17,90,What was the name of Sancho Panza's donkey,Dapple
17,97,Hugh Lofting created which famous character,Doctor Dolittle
