Page #,Question #,Question Text,Answer
25,53,What is Radar from MASH home town,Ottumwa - Iowa
25,54,In Macbeth what witch speaks first,The first witch
25,58,In The Marriage of Figaro - who did Figaro marry,Sussanah
25,61,Who steals the Pink Panther in the original film,The Phantom
25,66,In 1986 Graceland was the Grammy album of the year – who’s,Paul Simon
25,67,Bob Cummings played which character (both names),Maxwell Smart
25,70,What is Lolita's surname in Vladimere Nabokovs novel,Haze
25,82,In Milton's Paradise Lost what was the lowest point of Hell,Pandemonium (Hells capitol)
25,83,Pat Reid wrote which book - filmed and TV often,The Colditz Story
25,86,Who was captured and kept in a cage by Stromboli,Pinocchio
25,89,Name the Hotel in Arthur Haley's novel / film of same name,St Gregory
25,91,What was the Grammy album of the year in 1967 (Full name),Beatles Sergeant Peppers
25,92,McLean Stevenson played which character in MASH,Colonel Blake
25,99,Who wrote the music to the film The Odessa File,Andrew Lloyd Webber
25,100,Which Dickens novel features Waxford Squears,Nicholas Nickleby
