Page #,Question #,Question Text,Answer
193,51,Richard Bachman is a pseudonym of which author,Steven King
193,53,Who was once billed as The Atomic Powered Singer,Elvis Presley
193,58,Which TV characters blood pressure was minus 3,Herman Munster
193,62,In which film did Woody Allen direct Sylvester Stallone,Bananas - 1971 – Stallone a punk
193,64,Elvis Presley said big what on a woman turned him off,Feet
193,74,Frodo Baggins was the first to enter Britain using what,Pet Passport he was a dog
193,76,In Only Fools and Horses what is Rodney's middle name,Charlton
193,79,What does the name Dracula mean in Romanian,Son of the Devil
193,81,Who wrote the book Gremlins in 1943 - later filmed,Roald Dahl
193,85,Who sang the theme to The Spy who Loved Me,Carly Simon
193,90,Who wrote the children's book Bedknobs and Broomsticks,Mary Norton
193,93,In a survey what is the most popular UK kids TV programme,The Simpsons
193,98,Who directed the film of Ray Bradbury's Fahrenheit 451,Francois Trufeau
193,100,What does Dorethy have to steal from the wicked witch in oz,Her Broomstick
