Page #,Question #,Question Text,Answer
84,1,What is Daffy Ducks middle name,Dumas
84,2,In downtown Lima Peru there is a brass statue of who,Winnie the Pooh
84,9,Who rejected the role of Riddler in Batman Forever,Robin Williams
84,26,Volney was in hundreds of films where can you see him,MGM films he was the lion
84,30,O'Shey Jackson became better known as who,Ice Cube
84,35,JRR Tolkein wrote The Lord of the Rings what the JRR stand for,John Robert Reuel
84,38,What was the first video played on MTV Europe,Money for Nothing – Dire Straits
84,39,Thurl Ravenscroft is the voice of who,Tony the Tiger
84,41,In film making what is a martini shot,Last of day before pub
84,50,Who was supposed to play Betelgeuse in the movie,Sammy Davis Junior
