Page #,Question #,Question Text,Answer
123,56,Who is Harry Potters main enemy,Lord Voldemort
123,64,What Disney film was released on December 21st 1960,Swiss Family Robinson
123,67,Who plays Ali McBeal,Callista Flockhart
123,71,What was the first Bond film not to be titled from a Bond book,Licence to Kill
123,74,Where is the TV space alien ALF from,Melmac
123,82,In Kiplings Jungle Book Mang was what type of creature,Bat
123,84,What Bond film was entitled The Dead Slave in Japan,Live and let Die
123,88,What Disney character was voiced by Pinto Colvig,Sleepy
123,90,The Witches Curse alternative name which G&S operetta,Ruddigore
123,93,In Kiplings Jungle Book Ikki was what type of creature,Porcupine
123,95,What was Hitchcock's last film made in 1976,The Family Plot
123,98,Who was the first male to appear on the cover of Playboy,Peter Sellers
