Page #,Question #,Question Text,Answer
76,1,Who is Yogi Bears girlfriend,Cindy Bear
76,5,Who drives a car licensed 6YZ643,Fred Flintstone
76,9,In the Winnie the Pooh books what name is over Poohs door,Mr Sanders
76,10,What is the name of Superman's Supercat,Streaky
76,14,Who is Dick Tracey's girlfriend,Tess Trueheart
76,21,Who was Barbara Streisands first husband,Elliot Gould
76,22,What is the name of Porky Pigs father,Phineas Pig
76,23,Nathan Burnbaum became famous under what name,George Burns
76,29,Who was Dr Zhivago’s love,Lara
76,34,What was the only remake to win the best picture Oscar,Ben Hur
76,35,Soylent Green the band took name from film and book by who,Harry Harrison
76,37,Colonel Tom Parker Elvis's manager had what earlier act,"Dancing Chickens –
on hot plate"
76,42,Lorne Green has only one what (an alligator ate the other),Nipple
76,46,Who refused the leading male role in Gone With the Wind,Gary Cooper
