Page #,Question #,Question Text,Answer
184,2,In films who could win the Golden Boot award,Actors in cowboy films
184,13,Rudolf the red nosed reindeer had a girlfriend - name her,Clarissa
184,14,Which author sold most books in the first half of 20th century,Edgar Rice Burroughs
184,16,Which song is performed at start Indiana Jones Temple of Doom,Anything Goes
184,19,In 1950 what character was on first metal lunchbox in the US,Hopalong Cassidy
184,20,And in 1985 who was on the last one produced,Rambo
184,30,What is Homer Simpsons greatest fear,Sock Puppets
184,41,Who was the original choice to play the terminator,O J Simpson
184,44,What is the full name of Batman's butler,Albert Pennyworth
184,48,What is the name of Porky Pigs nephew,Cicero
