Page #,Question #,Question Text,Answer
59,59,What was the name of the Monkeys only film made in 1969,Head
59,61,what musical play - find a character called Magnolia Hawks,Showboat
59,64,Who was Humphry Bogart's first wife,Helen Mencken
59,69,What was James Bonds fathers name,Andrew
59,70,ET drank which brand of beer,Coors
59,77,Who live in Frostbite falls Minnesota,Rocky and Bullwinkle
59,79,Who was the star of The Sixth Sense,Bruce Willis
59,82,Ben Veeren played what character in Arthur Hailey's roots,Chicken George
59,85,What was the first film Paul Newman directed,Rachel Rachel
59,87,Who is The Incredible Hulks girlfriend,Betty Ross
59,89,Who appeared for the first time in Beetons Christmas Annual,Sherlock Holmes
59,94,In James Bonds books what was Dr No's first name,Julius
