Page #,Question #,Question Text,Answer
23,55,Oliver was fed gruel - its made from water and what,Oatmeal
23,57,Bunyon wrote Pilgrims Progress - where,Bedford Jail
23,58,Who did Mork call to each week on Ork,Orsen
23,63,In fable who pulled the thorn from the lions paw - not eaten,Androcles
23,67,Earl D Biggers created which oriental detective (both names),Charlie Chan
23,68,Whose backing group was The Coconuts,King Creole
23,72,What is the name of Moses and Aaron's sister,Miriam
23,76,Which actor wrote the book The Outlaw Trail,Robert Redford
23,77,What was pirate Captain Flint's ship called,Walrus
23,81,Name Captain Nemo's pet seal,Esmeralda
23,87,You'll Never Walk Alone came from which 1945 musical show,Carousel
23,95,Marilyn Munroe was the model for which Disney Character,Tinker Bell
23,100,Who was La Purcelle of Voltair's poem,Joan of Arc
