Page #,Question #,Question Text,Answer
153,49,Ronald Wycherley became more famous as who,Billy Fury
153,56,John Books was the final role of which actor,John Wayne in The Shootist
153,57,Gerry Dawsy became more famous as who,Englebert Humperdinck
153,58,And he was born in which country,India
153,59,Who did the walrus and the carpenter ask to walk with them,The Oysters
153,60,Jack Palance won best supporting actor Oscar in what 1991 film,City Slickers
153,75,Bob van Winkle changed his name to what,Vanilla Ice
153,76,Name Frank Sinatra's Yacht,My Way Again
153,80,Name the first actor to get best actor Oscar for repeating a role,Paul Newman – Colour of Money
153,98,Which character lived at 3 stable mews City of London,John Steed in the
