Page #,Question #,Question Text,Answer
135,52,Who played Louis Armstrong in 1954 film The Glen Miller Story,He played himself
135,54,In literature who lived at 7 Savile Row,Phileas Fogg
135,55,What is the only Shakespeare play that mentions America,The Comedy of Errors (Act III Scene ii)
135,58,Atlanta burned in Gone With the Wind was what old film set,King Kong  it needed clearing
135,63,In MASH what was the character Radars full name,Walter O'Reilly
135,68,Dr Deidrich Knickerbocker invented which famous character,Rip Van Winkle
135,71,Miss Lemon is what detectives confidential secretary,Hercule Poirot
135,72,Name Alice's pet cat,Dinah
135,77,In which film did Cliff Richard sing Living Doll in 1959,Serious Charge
135,80,Who wrote The female of the species more deadly than the male,Rudyard Kipling
135,83,Who recorded as Dib Cochran and the Earwigs,Marc Bolan and David Bowie
135,92,Pernell Roberts played which character in a TV western series,Adam Cartwright
135,95,Who was the runner up in the 1979 Le Mans 24 hour race,Paul Newman
135,96,Airman T E Shaw in WW2 was better known as who,T E Laurence of Arabia
135,100,In literature who married Mary Morstan,Dr John Watson
