Page #,Question #,Question Text,Answer
108,2,In Star Trek what is the name of Spock's father,Sarek
108,7,What actor is the spokesman for the National Rifle Association,Charlton Heston
108,11,In MASH who planted the vegetable garden,Father Mulcahy
108,14,What was Mae West sent to the workhouse for in 1926,"Writing starring in
play called sex"
108,16,What was the name of Juliet's cousin killed by Benvolio in R+J,Tynbalt
108,21,In the Superman comics name the shrunken city in a bottle,Kandor
108,24,What movie actor was (among other jobs) a bridge painter,Paul Hogan
108,31,In the Flintstones Dino was Fred's pet who was Barnie's,Hoppy
108,33,Roy Rogers girlfriend Dale Evans rode what named horse,Buttermilk
108,41,On ER what is the character name of Mark Greens daughter,Rachel
108,43,In what part of New York did the Great Gatsby live,West Egg
108,44,Name Merlin's owl in Disney's Sword in the Stone,Archimedes
108,48,What is Barbara Streisands middle name,Joan
