Page #,Question #,Question Text,Answer
40,2,Who wrote the music for Showboat,Jerome Kern
40,12,Packy Ease an amateur boxer - what name become famous,Bob Hope
40,15,Charles Conrad took a cassette to the moon on Apollo 11 who,Jerry Lee Lewis
40,16,First feature film US TV Heart of New York what was subject,Washing machine inventors
40,25,"Who said ""sex older women best they think its their last time""",Ian Fleming
40,26,Ping Pong and Pang are characters in which opera,Turendot - by Puccini
40,28,Harold J Smith a Canadian changed name famed as sidekick,Jay Silverheels Tonto
40,40,Stephano and Trinculo characters in which Shakespeare play,The Tempest
40,41,William Hurt won best actor Oscar for which 1985 film,The Kiss of the Spiderwoman
40,44,Alex Raymond created which comic strip character in 1934,Flash Gorden
40,48,Pocahontas was baptised and given what English name,Rebecca
