Page #,Question #,Question Text,Answer
163,52,From Here to Eternity gets its name from a poem by who,Tennyson
163,57,Which Shakespeare play ends in marriage of Benedict Beatrice,Much ado About Nothing
163,59,Name the cowardly member of Dick Dastardly's squadron,Zilly
163,63,Name actor fired as no star quality because of big Adams apple,Clint Eastwood
163,64,What was Buddy Hollies current single when he died,It doesn't matter any more
163,77,Name Tina Turners solo comeback album of 1984,Private Dancer
163,78,What was the first nationally released film with a PG 13 rating,Red Dawn
163,82,What actor was once fruit picker iceman truck driver propman,John Wayne
163,84,How did Scrooge McDuck earn his first dime,Shining shoes
163,95,Which American author wrote The turn of the Screw,Henry James
163,96,Who sang about Angel in a Centrefold,J Geils Band
163,97,Who first starred in the film The Boy in the Plastic Bubble,John Travolta
163,1,The Undiscovered Country a Star Trek title taken from where,Shakespeare's Hamlet
