Page #,Question #,Question Text,Answer
66,24,Dick Tracy the comic strip started life as what name,Plainclothes Tracy
66,31,The Egg and I was whose first film,Marilyn Munroe
66,33,Who first appeared in All Star Comics in 1941,Wonder Woman
66,36,What colour was Ian Flemming's typewriter,Gold
66,40,Which comic character was dynamited to death in issue 428,Robin
66,43,In what George Bizet opera do Zugra and Nbadir appear,The Pearl Fishers
66,45,Martin Fallon Hugh Marlow James Graham Harry Patterson who,Jack Higgins
66,46,Who created Popeye,Elzie Seger
66,47,The film The Madness of King George III Dropped III - why,So Americans don’t think it’s a sequel
66,48,Who had the part of Dirty Harry - hurt hand - dropped out,Frank Sinatra
