Page #,Question #,Question Text,Answer
56,2,Who owned Rin Tin Tin in the series,Rusty
56,4,What was the name of the horse in Animal Farm,Boxer
56,9,What film star was born in Sakhalin Siberia,Yul Bryner
56,14,In The Beverly Hillbillies what was the name of Ellie's Chimp,Cousin Bessie
56,15,Name the book - first line - It was a pleasure to burn,Fahrenheit 451 Ray Bradbury
56,25,Where was Keanu Reeves born,Beirut - Lebanon
56,26,Whose original name was Jasper,Tom - From Tom and Jerry
56,31,Hitchcock film he did not appear Lifeboat 1944 who female star,Tallulah Bankhead
56,43,In Bonanza Hoss Cartwright was afraid of what,The Dark
56,44,What links Hof Malomo Zagreb Belgrade Porto Varna Vevey,International film festivals
56,45,Natasha Gurdin became famous as who,Natilie Wood
