Page #,Question #,Question Text,Answer
57,52,What famous person was born in Ahmaddnagar India,Spike Milligan
57,55,What book starts with the words - Call me Ishmael,Moby Dick
57,68,In the Flintstones what was Betty Rubbles maiden name,Betty Jean McBricker
57,70,What film won the best picture Oscar in 1967,In the heat of the night
57,72,Something Happened 74 Picture This 88 Closing Time 94 author,Joseph Heller
57,73,James Leblanche Stewart became famous under what name,Stewart Granger
57,78,Rosetta Jacobs became famous under what name,Piper Laurie
57,82,Susan Abigail Tomalin became famous as who,Susan Saradon
57,88,In Bonanza what was Hoss Cartwright's characters first name,Eric
57,92,Book It was a bright cold day in April and clocks were striking 13,1984 George Orwell
