Page #,Question #,Question Text,Answer
112,7,Name Elvis Presley's father,Vernon Presley
112,8,In what novel does Dr Hannibal Lecter first appear,Red Dragon
112,16,Liza Minelli played what character in Cabaret,Sally Bowles
112,17,Who wrote the scripts for Hill street Blues,Steven Bochco
112,25,Henri Charrier is better known by what nickname,Papillion – The Butterfly
112,28,Who was with Macbeth when he met the witches,Banquo
112,34,What was Oscar Wilde's only novel,The picture of Dorian Grey
112,35,What writer lived at hilltop near Hawkshead now museum to her,Beartrix Potter
112,37,Who is the Greek God of the sky and the universe,Uranus
112,41,Fallstaff first appears in what Shakespeare play,Henry IV part 1
112,44,In what film would you find The Orgasmitron,Woody Alan's Sleeper
112,48,Who wrote the book Coma,Robin Cook
