Page #,Question #,Question Text,Answer
201,58,Who produced and directed the Death Wish series of films,Michael Winner
201,67,Jim Rhodes is the alter ego of which Marvel comic book hero,Iron Man
201,74,Which novel opens and closes with the letters of Robert Walton,Frankenstein
201,75,In Star Trek Deep Space Nine which character had a simbiant,Jadzea Dax
201,81,Which books chief rival is the Encyclopaedia Galactica,Hitchhikers Guide to the Galaxy
201,83,The opening lines of which classic Russian novel are in French,War and Peace eh bien mon prince
201,87,In TS Elliot's book of practical cats name the mystery cat,Macavity
201,96,In Greek mythology Deianeira was the wife of who,Hercules
201,98,Troy McClure appears in which cartoon series,The Simpsons
201,99,Illinois second largest city and a TV detective share what name,Rockford
201,100,In Star Fleet Will Riker plays which musical instrument,Trombone
