Page #,Question #,Question Text,Answer
102,3,Im Westen Nicht Neues what famous novel 20s later film,All Quiet on the Western Front
102,4,Anreas Cornelis van Kujik was who’s manager,Elvis Col Tom Parker
102,7,What aria from Madam Butterfly is a Michelle Pfeiffer 1996 film,One fine Day
102,11,In what film did Paul Robeson sing Old Man River,Showboat
102,14,What TV family lived at 1124 Morning Glory Circle Westport Con,Stevens in Bewitched
102,18,Kate Mulgrew plays who in a Gene Roddenbery based series,Capt Katherine Janeway Voyager
102,24,Daimants Sur Canape French translation of what film,Breakfast at Tiffanys
102,25,Tracy Marrow a former convict born 1958 changed name to what,Ice-T
102,28,"Broadway 59 music Ordinary Couple, Preludium, Processional",The Sound of Music
102,32,In fiction who's mother Monique Delacroix died when he was 11,James Bond
102,34,Salvatore A Lombino used Ewan Hunter what famous pen name,Ed McBain
102,39,Away we Go was the original 1942 title what musical show/film,Oaklahoma
102,47,Gene Kelly Michael York Joss Ackland all played who,D'Artagan
102,48,Who wrote The Last Frontier first published in 1959,Alistair Maclean
102,49,In what TV series did we see Del Floria tailors shop,The man from UNCLE
