Page #,Question #,Question Text,Answer
173,56,What was the first ABC TV series rated No 1 for full season,Marcus Welby M.D.
173,57,Name the companion of the cartoon character Secret Squirrel,Morocco Mole
173,62,In what TV series did we meet Perry Masonry,Flintstones lawyer never lost case
173,63,Ellen Marrenner became more famous as who,Susan Hayward
173,64,What was Hitchcock's first film in colour,Rope
173,66,What scene is included for good luck in most of Spielberg films,A Shooting star
173,71,Whose normal heartbeat is 242 per minute,Mr Spock in Star Trek
173,79,Storm Warning the only film in which this Actress killed who,Doris Day
173,81,What was Disney's first non animated live action film,Treasure Island
173,85,Who or what was introduced to the USA in 1964,G I Joe
173,92,Name the dark lord in Lord of the Rings,Sauron
173,97,Which actor appeared in drag in two Marlene Dietrich films,John Wayne
173,99,What was the name of the cab company in Taxi,Sunshine cabs
