Page #,Question #,Question Text,Answer
198,1,Walter Wagers novel 58 minutes was the basis for which film,Die Hard 2
198,2,In the Dr Dolittle stories what type of creature was Dab-Dab,Duck
198,6,Name the lion in the Lion the Witch and the Wardrobe,Aslan
198,15,The Dogs of War took its title from which other work,Shakespeare's Julius Caesar
198,18,In Star Trek Voyager what is the shuttlecrafts name,The Delta Flyer
198,20,Who was THE woman to Sherlock Holmes,Irene Adler
198,26,Scott Joplin's music used for the film The Sting name the tune,The Entertainer
198,31,Peter Parker is the alter ego of which superhero,Spiderman
198,43,In which 1960s kids show is The Hood the supervillian,Thunderbirds
198,49,In the Dr Dolittle stories what type of creature was Gub-Gub,Pig
198,50,O'Henry created which western character in a short story,The Cisco Kid
