Page #,Question #,Question Text,Answer
101,52,In 1949 the Thought Police first appeared in what novel,1984 George Orwell
101,54,Who was born at Daisy Hill Puppy Farm,Snoopy – Peanuts
101,57,"What 1969 film last line Clint Eastwood ""I fall off em everywhere""",Where Eagles Dare
101,67,Marilyn Louis born 1922 changed her name to what star of 40s,Rhonda Fleming
101,70,Phil Collins played what character on the London stage 1960s,Artful Dodger
101,71,On the Omen series Damien was the devil - what second name,Thorne
101,74,What characters first appeared in Entertaining Young Gussie,Jeeves and Wooster
101,83,Richard Attenbourough what character in The Great Escape,Bartlett
101,84,What was superhero Green Lantern vulnerable to,Anything Yellow
101,86,Who played Dr McCoy in the original Star Trek series,Deforest Kelly
101,87,German film of the 1920s starred Max Schreck as a vampire,Nosferatu
101,94,In Ghandi who played the General caused massacre Amritsar,Edward Fox General Reginald Dyer
101,96,Film The Dead Heat Merry go Round 60s what stars first 1 line,Harrison Ford
