Page #,Question #,Question Text,Answer
88,4,In Arthur C Clarks Childhoods end the aliens look like what,Devils
88,11,Who made his screen debut in Mad Dog Col 1961 as a cop,Gene Hackman
88,14,who told the evil king Schahriah stories,Sheherazade
88,24,Joan Sandra Molinsky became famous as who,Joan Rivers
88,26,Who wrote the book - Call of the Wild,Jack London
88,28,"Who was nicknamed ""Queen of the Swashbucklers""",Maureen O' Hara
88,31,Who directed the movie Wall Street 1987,Oliver Stone
88,36,In Red Dwarf what did the H stand for on Rimmers head,Hologram
88,39,Janette MacDonald was nicknamed the Iron what,Butterfly
88,40,Where is the Star Fleet Academy located,San Francisco
88,48,In what literary work would you find the yahoos,Gulliver's Travels
