Page #,Question #,Question Text,Answer
177,52,What word appears in more film titles than any other,Love
177,53,And which word comes second,Paris
177,55,Who starred in cartoon where the Tasmanian Devil 1st appeared,Bugs Bunny – Devil may Hare
177,63,What was Blondies name before she married Dagwood,Boopadoop
177,68,Most people bob for apples what do Adams family bob for,Crabs
177,71,Who wanted to play Brody in Jaws but Spielberg rejected him,Charlton Heston
177,74,The Finnish know her as Tuna what do we call her,Cinderella
177,75,25% of Americans believe which fictional character is real,Sherlock Holmes
177,76,Dr Seuss created the first animated TV ad for which company,Ford
177,80,In Star Wars George Lucas modelled the Emperor on who,Richard Nixon
177,81,What did Popeye eat for strength before spinach,Garlic
177,90,What is the first line on Mel Blanc's tombstone,That’s All Folks
177,93,What was the first US TV series broadcast in the USSR,Daktari
177,96,A Hobbits will requires seven signatures in what,Red Ink
177,97,Which classic film was called production 9401 during filming,Psycho
177,99,Sherrinford was hero Ormond Sacker assistant names changed,To Holmes and Watson
