Page #,Question #,Question Text,Answer
68,2,What was Spencer Tracy's last film,Guess whose coming
68,7,What ship was blown up at the end of The African Queen,The Louisa
68,16,Who should have played Indiana Jones and dropped out,Tom Selleck
68,24,What series was voted the best fiction of the 20th century,Lord of the Rings
68,29,Who fired the first shots in the 1970 film MASH,The Football game
68,31,Beveley Hills Cop was Eddie Murphy but who was it intended for,Sylvester Stallone
68,39,Leonato is the main character in what Shakespeare play,Much ado about
68,40,Who wrote the book Forest Gump,Winston Groom
68,46,Who was the male star when The Mousetrap first played,Richard 
68,47,Who was the first actress to endorse a product commercially,Lilly Langtree
68,49,Who wrote the opera Zaide,Mozart
