Page #,Question #,Question Text,Answer
95,55,In literature who taught at the Marcia Blain school for Girls,Miss Jean Brodie
95,56,What was the full name of the butler in soap - later spin off,Benson Dubois
95,61,Joel Chandler Harris born December 1848 better known as who,Uncle Remus
95,64,In traditional pantomime who is the sweetheart of Harlequin,Columbine
95,66,What actress/singer once worked in a doughnut shop,Madonna
95,69,Richard Roundtree played what detective in three 70s films,John Shaft
95,71,Writer who created Hannah Massay Maggie Rowan Tillie Trotter,Catherine Cookson
95,74,Herbert Charles Angelo Kuchacevich ze Schluderpacheri - who,Herbert Lom
95,76,The French call it La Mort aux Trousses what Hitchcock film is it,North by Northwest
95,79,Lily Cauchoin became famous as who,Claudette Colbert
95,84,Who created The Scarlet Pimpernel,Baroness Orczy
95,85,Who was meant to play Annie Okley but was replaced in 1950,Judie Garland Annie get Your Gun
95,91,Edmund Dante is what eponymous hero,The Count of Monte Christo
95,95,The Sea Cook was the original title of what famous novel,Treasure Island
95,98,The Island of Sheep was the last novel of what Buchan Hero,Richard Hannay
