Page #,Question #,Question Text,Answer
126,2,In which 1956 film did Elvis Presley make his debut,Love me Tender
126,6,Name the Indian version of Barbie,Monica
126,17,Name Disney's first film to win an Academy Award,Flowers and Trees
126,28,Who turned down the TV role of Doctor Kildare,William Shatner
126,31,There and back Again is an alternative title of which novel,The Hobbit
126,37,What traditional Maori insult was seen in the film Braveheart,Mooning
126,40,What was the first sport to be filmed,Boxing by Thomas Edison 1894
126,41,In the Tom and Jerry cartoons name the other mouse,Nibbles or Tuffy
126,47,Name Leonard Nimoy's autobiography,I am not Spock
126,48,The Stoner Case was a Sherlock Holmes play - later what story,The Speckled Band
