Page #,Question #,Question Text,Answer
195,51,The film Midnight Express is set in which country,Turkey
195,52,Dik Browne is the author of which cartoon strip,Hagar the Horrible
195,62,In which Dickens novel does the character Fezziwig appear,Christmas Carol – Scrooges Boss
195,65,Mimi is the first name of which Warner Bros cartoon character,Roadrunner
195,66,What was Marilyn Munroes original last name,Mortenson
195,67,Valentine Michael Smith is the central character in which book,Heinlein stranger in a strange land
195,73,Michael Bond created which children's character,Paddington Bear
195,76,In the 1944 film National Velvet name Elizabeth Taylor's horse,Pie
195,81,Which character was invented in a comic for Montgomery Ward,Rudolf the red nosed reindeer
195,83,"On ""Sesame Street"," what is the name of Big Bird's teddy bear,Radar
195,84,Which character was born in Riverside Iowa,James Tiberius Kirk
195,86,In Star Trek who rules the Ferengi,Grand Nagus
195,91,In Happy Days what was Potsies full name,Warren Webber
195,95,Which characters were invented in 1957 in Belgium,The Smurfs
195,96,Which playwrite was nicknamed doc,Neil Simon
195,99,Sunrise Sunset came from which Broadway musical show,Fiddler on the Roof
195,100,What was the name of Barbie's first horse,Dancer"
