Page #,Question #,Question Text,Answer
72,5,Who won the first Oscar for a musical in 1943,James Cagney
72,6,In The film Reservoir Dogs what song was discussed at the start,Like a Virgin –
72,19,What colour was Mrs Bates dress in Psycho,Periwinkle Blue
72,21,Terry Bollea became famous under what name,Hulk Hogan
72,29,What was Alfred Hitchcock's first sound film,Blackmail
72,34,What was Maxwell Smarts cover,Greetings Card
72,36,PD James wrote thrillers what does PD stand for,Phyllis Dorothy
72,38,In the Beverley Hillbillies what was a potpasser,Pool Cue at fancy
72,39,Jack Haley played the Tin Man what was the Tin Mans name,Hickory Twicker
72,40,Disney question - who are Daisy Ducks three nieces,April May June
72,49,What was the name of the saloon in Gunsmoke,Longbranch
