Page #,Question #,Question Text,Answer
176,2,Which Bruce made the cover of Time in 1975,Jaws - Bruce was the shark
176,3,In Peter and the Wolf what instrument represents the cat,The Clarinet
176,14,The Necromancer in The Hobbit became who in later works,Sauron
176,18,Sterling Holloway was original voice of which Disney character,Winnie the Pooh
176,27,Which actor wore an old trenchcoat in one scene in all his films,David Niven
176,29,Which prop item did MGM ban from film sets in the early 50s,TV sets
176,36,In 1908 A'Ecu d'Or became the worlds first what,Pornographic film
176,37,In Star Trek what is Chekov's first name,Pavel
176,39,What were the old hecklers in the Muppet show named after,New York Hotels Waldorf Stadler
176,44,In Frank Herbert's Dune what are the Makers,Sandworms - Shai-haulud
176,45,Which country produces the most full length feature films,India
176,48,In Rebel Without a Cause name the High School,Dawson
176,50,In Peter and the Wolf what instrument represents the duck,The Oboe
176,51,According to Gene Kelly who was his favourite dancing partner,Fred Astair
