Page #,Question #,Question Text,Answer
192,5,Which city was superman born in,Kryptonopolis
192,6,Which actress was the Connecticut state golf champ at age 16,Katherine Hepburn
192,8,Charles Bronson got acting job because he did what on demand,Belch or Burp
192,16,Who is the alter ego of Henry the mild mannered janitor,Hong Kong Phooey
192,17,Which German city was the setting of Auf Wierdersehn Pet,Dusseldorf
192,26,The Simpsons are the longest running cartoon who is second,The Flintstones
192,34,Which comic strip hero shares his name with a town in Turkey,Batman
192,35,In Bewitched name the witch doctor who treats Samantha,Doctor Bombay
192,37,In Gone With the Wind name Ashley Wilkes plantation,Twelve Oaks
192,49,What is the name of Snoopy's sister,Belle
