Page #,Question #,Question Text,Answer
10,4,Joseph Levitch became famous as who,Jerry Lewis
10,8,In what Elvis film did he play a double role,Kissing Cousins
10,11,John Huston scored a hit with his first film - what?,Maltese falcon
10,12,"Stan laurel, Mickey Rooney, Lana Turner what in common",8 marriages
10,13,What real person has been played most often in films,Napoleon Bonaparte
10,17,Whose music featured in The Clockwork Orange,Beethoven
10,22,Whose first wife was actress Jayne Wyman,Ronald Regan
10,23,In MASH what is Radars favourite drink,Grape Knee High
10,26,In which film did the Rolls Royce have the number plate AU1,Goldfinger
10,32,Who wrote Les Miserable,Victor Hugo
10,36,To which London club did Mycroft Holmes belong,Diogones
10,44,In the Winnie the Pooh stories what is Kanga’s baby called,Roo
10,45,Which actor is common to Magnificent 7 and Dirty Dozen,Charles Bronson
