Page #,Question #,Question Text,Answer
113,58,Who first appeared on TV December 17th 1989,The Simpsons –
113,62,In the film Tommy who played The Acid Queen,Tina Turner
113,66,Bennie Hills Ernie fastest milkman in the west - name his horse,Trigger
113,72,Who first played Flash Gordon on film,Buster Crabbe
113,79,The annual Hackademy awards are given for what,Smoking in films
113,82,Who narrated Jeff Wayne's War of the Worlds,Richard Burton
113,87,Amanda by the Sea was a US version of what UK comedy show,Faulty Towers
113,89,According to psychologists the happiest people watch what TV,Soap Operas
113,94,In what film did Mary Poppins - Julie Andrews bare her nipples,S.O.B.
113,96,How was Tristram Shandy (fictional character) circumcised,A Sash window fell
