Page #,Question #,Question Text,Answer
87,53,William Moulton Marston Lie Detector and what comic character,Wonderwoman
87,54,On the Munsters what was Lillie's maiden name,Lilly Dracula
87,57,What links George Patton Jayne Mansfield Margaret Mitchell,Died in car crashes
87,62,Who appeared on the first cover of TV guide 3 April 1953,Desi Arnaz Jr
87,64,The Rambunctious and Clever Ones what films name in Taiwan,Wayne's World
87,69,What is the name of Data's cat in Star Trek Next Generation,Spot
87,76,What links Cary Grant Mohammed Ali Prince Charles,All amateur Magicians
87,78,What is Indiana Jones first name,Henry
87,84,The Merry Go Round is Broken Down - whose melody is that,Looney Tunes
87,86,Paramount Pictures logo has 22 what,Stars
87,89,Who is known as Tuhkimo in Finland,Cinderella
87,91,Who was the first Marvel Comics superhero,Human Torch
87,93,What was the first video played on MTV,Video killed the Radio Star
