Page #,Question #,Question Text,Answer
8,2,Who played Billy the Kid in The Left Handed Gun,Paul Newman
8,8,Which country made the worlds first feature film in 1906,Australia Story of Kelly gang
8,9,Who wrote Gentlemen Prefer Blonds,Anita Loos
8,10,What was Norman Bates hobby in Psycho,Stuffing birds
8,13,Why did the state of Indiana ban Robin Hood in 1953,Communist – rob rich
8,16,What did Marlon Brando and George C Scott refuse,Oscars
8,20,What was Charles Dickens last (unfinished) novel,Mystery of Edwin Drood
8,27,Shirley Schrift became famous as which actress,Shelly Winters
8,30,Which 1956 film caused riots in cinemas,Rock around the clock
8,32,Who played the scarecrow in the Wiz (all black wiz of oz),Michael Jackson
8,35,Which hats became popular with children in 1956,Davy Crocket
8,36,Malden Serkiovitch famous as which actor,Karl Malden
8,38,What hospital did Dr Kildare work at,Blaire General
8,41,Who was John Dawkins better known as,Artful Dodger
8,42,Which film star has his statue in Leicester Square,Charlie Chaplin
8,43,Virginia McMath became famous as which actress,Ginger Rodgers
8,44,What is the name of Captain Ahab's ship,Peaquod
8,46,Who wrote The History of Mr Polly,H G Wells
8,48,Mr Chips said goodbye - from which fictional school,Brookfield
8,49,Who buried the treasure on Treasure Island,Captain Flint
8,50,Which TV series was narrated by Walter Winchell,The Untouchables
