Page #,Question #,Question Text,Answer
181,51,Who was the first choice to play Beverley Hills Cop,Sylvester Stallone
181,56,What is the only Bible book referred to in a Shakespeare play,Numbers in Henry V
181,57,Harry Rosoll created which famous bear,Smokey the Bear
181,63,In Winnie the Pooh what's the name over the door Pooh's house,Mr Sanders
181,64,Which old time TV cop had a middle name of Aloysius,Steve McGarret – Hawaii 5 0
181,65,In the comic Fantastic Four what was Things character name,Benjamin Grimm
181,67,Norman Bean became famous as which author,Edgar Rice Burroughs
181,76,Name was Richard Kimble's favourite alias in the TV series,Jim
181,84,The Alley Cats was the working title of which TV show,Charlie's Angels
181,92,What was Vincent Price's first horror film,House of Wax
181,96,Which cartoon company is based in Walla Walla Washington,Acme in Roadrunner
