Page #,Question #,Question Text,Answer
144,1,Who was the science advisor on the first Star Trek film,Isaac Asimov
144,10,In The Man with the Golden Gun name Scaramangas assistant,Nick Nack
144,15,In Animal Farm what kind of creature was Bluebell,A Dog
144,17,Which actor was born in Chiuhauha Mexico,Anthony Quinn
144,21,Casey Kasem was the original voice of what cartoon character,Shaggy on Scooby\nDoo
144,22,Who was Bette Midlers piano player before going solo,Barry Manilow
144,27,Which heroine comes from Amphipolis,Xena warrior princess
144,41,Who wrote Breakfast at Tiffany's,Truman Capote
144,43,Which actor/writer born 1939 has the first names John Marwood,John Cleese
144,46,Mary Pickford Charlie Chaplin and who founded United Artists,D W Griffith
144,47,What company did actor Brad Pitt model for,Levis
144,48,James Bond flew Little Nellie in which film,You Only Live Twice
